"County","Year","Outcome","Covariate_1","Covariate_2","Covariate_3","Covariate_4","Period","Unit"
"San Francisco",2011,21,13.3,9.9,58,100,1,1
"San Francisco",2012,21.4,13.2,9.4,65,100,2,1
"San Francisco",2013,25.4,15.7,16,56.4,100,3,1
"San Francisco",2014,26.5,18.5,5.5,62.7,100,4,1
"San Francisco",2015,31.1,15.5,8.8,65.7,100,5,1
"San Francisco",2016,25.4,22.6,11.5,58.3,100,6,1
"San Francisco",2017,21.6,15,9.7,62.1,100,7,1
"San Francisco",2018,24.5,15,11.3,65.3,100,8,1
"San Francisco",2019,25.4,19.8,8.5,67.3,100,9,1
"San Francisco",2020,24.7,13.3,4.9,67.1,100,10,1
"San Francisco",2021,21.7,15.1,9.2,61,100,11,1
"San Francisco",2022,23.2,15.1,5.6,61.7,100,12,1
"San Francisco",2023,23.1,15.2,10.4,61.5,100,13,1
"Butte",2011,42.9,14.7,20.8,45.4,49.8,1,2
"Butte",2012,37.3,15.9,21.8,41.3,39.6,2,2
"Butte",2013,39.9,18.9,16.9,48.3,65.7,3,2
"Butte",2014,46.8,15.4,19.9,53.4,46.5,4,2
"Butte",2015,45.6,15.2,17.3,45.5,50.5,5,2
"Butte",2016,35.1,12.4,24.2,43,49.1,6,2
"Butte",2017,46.5,16.6,14.8,41.9,48,7,2
"Butte",2018,44.4,23.1,19.7,42.1,48.3,8,2
"Butte",2019,43,14.5,16.9,46.9,69,9,2
"Butte",2020,41.8,16.4,17.3,52.8,63.1,10,2
"Butte",2021,36.3,15.9,16.7,51.5,63.9,11,2
"Butte",2022,42,16,17.2,40.4,68.8,12,2
"Butte",2023,48.5,18.6,15.6,36.4,73.3,13,2
"Shasta",2011,40.5,9.2,19.2,45.2,42.2,1,3
"Shasta",2012,42.8,11.2,15.7,52.8,48.9,2,3
"Shasta",2013,38.8,6.7,22.4,49.2,38.1,3,3
"Shasta",2014,42.6,10,13.8,47.8,33.4,4,3
"Shasta",2015,46.2,7.9,23.3,41,39.1,5,3
"Shasta",2016,42.5,13.5,17.2,44.5,31.6,6,3
"Shasta",2017,37,7.2,25.7,52.3,30.7,7,3
"Shasta",2018,54.8,26,15.2,53.7,43.8,8,3
"Shasta",2019,54,17.4,12.3,42,39.1,9,3
"Shasta",2020,46.9,6.6,17.6,43.4,45.9,10,3
"Shasta",2021,41.6,13.7,19,52.2,42.8,11,3
"Shasta",2022,40.1,14.3,14.2,43.6,43.1,12,3
"Shasta",2023,49.8,11.6,17.2,37.4,45,13,3
"Humboldt",2011,43.7,9.8,17.5,52.5,34.1,1,4
"Humboldt",2012,48.2,16.1,19.9,36.9,45.3,2,4
"Humboldt",2013,44.6,10.5,31.6,47.8,38.6,3,4
